id,name,docs,docs_exists,docs_anchor,details_anchor,catalog_anchor,source
audio.disable-beep,Disable System Beep,Docs\peripheral\peripheral.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\AudioTweakProvider.cs#L22
audio.disable-spatial-audio,Disable Spatial Audio,Docs\peripheral\peripheral.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\AudioTweakProvider.cs#L60
audio.disable-system-sounds,Disable System Sounds,Docs\peripheral\peripheral.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\AudioTweakProvider.cs#L72
audio.show-disconnected-devices,Show Disconnected Audio Devices,Docs\peripheral\peripheral.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\AudioTweakProvider.cs#L47
audio.show-hidden-devices,Show Hidden Audio Devices,Docs\peripheral\peripheral.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\AudioTweakProvider.cs#L34
cleanup.background-history,Clear Wallpaper History,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearBackgroundHistoryTweak.cs#L14
cleanup.component-store,Cleanup Component Store,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\CleanupComponentStoreTweak.cs#L14
cleanup.delivery-optimization,Clear Delivery Optimization Files,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearDeliveryOptimizationFilesTweak.cs#L14
cleanup.directx-shader-cache,Clear DirectX Shader Cache,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearDirectXShaderCacheTweak.cs#L11
cleanup.disable-reserved-storage,Disable Reserved Storage,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\DisableReservedStorageTweak.cs#L14
cleanup.eventlog-{logName.ToLowerInvariant()},Clear {logName} Event Log,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearEventLogsTweak.cs#L15
cleanup.font-cache,Clear Font Cache,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearFontCacheTweak.cs#L14
cleanup.internet-temp-files,Clear Temporary Internet Files,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearTemporaryInternetFilesTweak.cs#L11
cleanup.memory-dumps,Clear Memory Dump Files,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearMemoryDumpFilesTweak.cs#L11
cleanup.prefetch-files,Clear Prefetch Files,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearPrefetchFilesTweak.cs#L11
cleanup.product-key,Remove Product Key from Registry,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\RemoveProductKeyTweak.cs#L14
cleanup.recycle-bin,Empty Recycle Bin,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearRecycleBinTweak.cs#L14
cleanup.shadow-copies,Clear Shadow Copies,Docs\cleanup\cleanup.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Commands\Cleanup\ClearShadowCopiesTweak.cs#L14
