MODE=set
REGISTRY_PATH=HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager
VALUE_NAME=EnableFileHashComputation
STATE=1
PML_EXISTS=True
CSV_EXISTS=True
MATCH_COUNT=80
1:23:50.4966975 AM | MsMpEng.exe | RegOpenKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\ | SUCCESS | Desired Access: Query Value
1:23:50.4968244 AM | MsMpEng.exe | RegQueryKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager | SUCCESS | Query: Cached, SubKeys: 0, Values: 1
1:23:50.4968454 AM | MsMpEng.exe | RegCloseKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager | SUCCESS | 
1:23:50.4969972 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\DisableLocalAdminMerge | KEY DELETED | Length: 16
1:23:50.4973810 AM | MsMpEng.exe | RegOpenKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\ | SUCCESS | Desired Access: Query Value
1:23:50.4973939 AM | MsMpEng.exe | RegQueryKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager | SUCCESS | Query: Cached, SubKeys: 0, Values: 1
1:23:50.4974035 AM | MsMpEng.exe | RegCloseKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager | SUCCESS | 
1:23:50.4979994 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\DisableLocalAdminMerge | KEY DELETED | Length: 16
1:23:50.4982492 AM | MsMpEng.exe | RegOpenKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager | SUCCESS | Desired Access: Read
1:23:50.4982904 AM | MsMpEng.exe | RegCloseKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager | SUCCESS | 
1:23:50.4983024 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\DisableLocalAdminMerge | NAME NOT FOUND | Length: 16
1:23:50.4986660 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\EngineRing | NAME NOT FOUND | Length: 16
1:23:50.4987942 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\HideExclusionsFromLocalAdmins | NAME NOT FOUND | Length: 16
1:23:50.4989010 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\HideExclusionsFromLocalAdmins | NAME NOT FOUND | Length: 16
1:23:50.4989929 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\HideExclusionsFromLocalUsers | NAME NOT FOUND | Length: 16
1:23:50.4997912 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\PlatformRing | NAME NOT FOUND | Length: 14
1:23:50.4998146 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\PlatformRing | NAME NOT FOUND | Length: 16
1:23:50.5001244 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\PUAProtection | NAME NOT FOUND | Length: 12
1:23:50.5001476 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\PUAProtection | NAME NOT FOUND | Length: 16
1:23:50.5001714 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\RandomizeScheduleTaskTimes | NAME NOT FOUND | Length: 16
1:23:50.5001944 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\RandomizeScheduleTaskTimes | NAME NOT FOUND | Length: 16
1:23:50.5004922 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\SchedulerRandomizationTime | NAME NOT FOUND | Length: 16
1:23:50.5005159 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\SchedulerRandomizationTime | NAME NOT FOUND | Length: 16
1:23:50.5008148 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\SignaturesRing | NAME NOT FOUND | Length: 16
1:23:50.5008994 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\SupportLogEventIds | NAME NOT FOUND | Length: 12
1:23:50.5009236 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\SupportLogLocation | NAME NOT FOUND | Length: 12
1:23:50.5009412 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\ThreatFileHashLogging | NAME NOT FOUND | Length: 12
1:23:50.5009576 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\ThreatFileHashLogging | NAME NOT FOUND | Length: 16
1:23:50.5013298 AM | MsMpEng.exe | RegOpenKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\ | SUCCESS | Desired Access: Query Value
1:23:50.5013391 AM | MsMpEng.exe | RegQueryKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager | SUCCESS | Query: Cached, SubKeys: 0, Values: 1
1:23:50.5013762 AM | MsMpEng.exe | RegCloseKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager | SUCCESS | 
1:23:50.5016887 AM | MsMpEng.exe | RegOpenKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\ | SUCCESS | Desired Access: Query Value
1:23:50.5017003 AM | MsMpEng.exe | RegQueryKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager | SUCCESS | Query: Cached, SubKeys: 0, Values: 1
1:23:50.5017084 AM | MsMpEng.exe | RegCloseKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager | SUCCESS | 
1:23:50.5019317 AM | MsMpEng.exe | RegOpenKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\ | SUCCESS | Desired Access: Query Value
1:23:50.5019442 AM | MsMpEng.exe | RegQueryKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager | SUCCESS | Query: Cached, SubKeys: 0, Values: 1
1:23:50.5019532 AM | MsMpEng.exe | RegCloseKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager | SUCCESS | 
1:23:50.5021729 AM | MsMpEng.exe | RegOpenKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\ | SUCCESS | Desired Access: Query Value
