"candidate_id","family","needle","binary_path","exists","size","ascii_match","unicode_match"
"power.control.class1-initial-unpark-count","power-control","Class1InitialUnparkCount","C:\Windows\System32\ntoskrnl.exe","True","12952992","False","True"
"power.control.class1-initial-unpark-count","power-control","Class1InitialUnparkCount","C:\Windows\System32\powrprof.dll","True","398160","False","False"
"power.control.hibernate-enabled","power-control","HibernateEnabled","C:\Windows\System32\ntoskrnl.exe","True","12952992","True","True"
"power.control.hibernate-enabled","power-control","HibernateEnabled","C:\Windows\System32\powrprof.dll","True","398160","False","False"
"power.control.hibernate-enabled-default","power-control","HibernateEnabledDefault","C:\Windows\System32\ntoskrnl.exe","True","12952992","False","True"
"power.control.hibernate-enabled-default","power-control","HibernateEnabledDefault","C:\Windows\System32\powrprof.dll","True","398160","False","False"
"power.control.lid-reliability-state","power-control","LidReliabilityState","C:\Windows\System32\ntoskrnl.exe","True","12952992","False","True"
"power.control.lid-reliability-state","power-control","LidReliabilityState","C:\Windows\System32\powrprof.dll","True","398160","False","False"
"power.control.mf-buffering-threshold","power-control","MfBufferingThreshold","C:\Windows\System32\ntoskrnl.exe","True","12952992","False","True"
"power.control.mf-buffering-threshold","power-control","MfBufferingThreshold","C:\Windows\System32\powrprof.dll","True","398160","False","False"
"power.control.perf-calculate-actual-utilization","power-control","PerfCalculateActualUtilization","C:\Windows\System32\ntoskrnl.exe","True","12952992","False","True"
"power.control.perf-calculate-actual-utilization","power-control","PerfCalculateActualUtilization","C:\Windows\System32\powrprof.dll","True","398160","False","False"
"power.control.timer-rebase-threshold-on-drips-exit","power-control","TimerRebaseThresholdOnDripsExit","C:\Windows\System32\ntoskrnl.exe","True","12952992","False","True"
"power.control.timer-rebase-threshold-on-drips-exit","power-control","TimerRebaseThresholdOnDripsExit","C:\Windows\System32\powrprof.dll","True","398160","False","False"
