"candidate_id","family","suspected_layer","boot_phase_relevant","frida_allowed","registry_path","value_name","path_exists","value_exists","value_kind","value_preview","value_length","read_error"
"policy.enable-local-logon-sid","policy-system","policy","False","True","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\SYSTEM","EnableLocalLogonSid","True","False",,,"0",
"power.customize-during-setup","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","CustomizeDuringSetup","True","True","DWord","1","1",
"power.source-settings-version","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","SourceSettingsVersion","True","True","DWord","4","1",
"system.executive-additional-critical-worker-threads","session-manager-executive","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Executive","AdditionalCriticalWorkerThreads","True","True","DWord","0","1",
"system.executive-additional-delayed-worker-threads","session-manager-executive","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Executive","AdditionalDelayedWorkerThreads","True","True","DWord","0","1",
"system.executive-force-enable-mutant-autoboost","session-manager-executive","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Executive","ForceEnableMutantAutoboost","True","False",,,"0",
"system.executive-kernel-worker-test-flags","session-manager-executive","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Executive","KernelWorkerTestFlags","True","False",,,"0",
"system.executive-maximum-kernel-worker-threads","session-manager-executive","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Executive","MaximumKernelWorkerThreads","True","False",,,"0",
"system.executive-tickcount-rollover-delay","session-manager-executive","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Executive","TickcountRolloverDelay","True","False",,,"0",
"system.executive-uuid-sequence-number","session-manager-executive","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Executive","UuidSequenceNumber","True","True","DWord","25272111","8",
"system.io-allow-remote-dasd","session-manager-io","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\I/O System","AllowRemoteDASD","True","True","DWord","0","1",
"system.io-disable-disk-counters","session-manager-io","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\I/O System","DisableDiskCounters","True","False",,,"0",
"system.io-allow-load-crash-dump-driver","session-manager-io","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\I/O System","IoAllowLoadCrashDumpDriver","True","False",,,"0",
"system.io-enable-session-zero-access-check","session-manager-io","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\I/O System","IoEnableSessionZeroAccessCheck","True","False",,,"0",
"power.session-idle-scan-interval","session-manager-power","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Power","IdleScanInterval","True","False",,,"0",
"power.session-power-setting-profile","session-manager-power","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Power","PowerSettingProfile","True","True","DWord","0","1",
"power.session-skip-tick-override","session-manager-power","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Power","SkipTickOverride","True","False",,,"0",
"power.session-watchdog-resume-timeout","session-manager-power","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Power","WatchdogResumeTimeout","True","True","DWord","120","3",
"power.session-watchdog-sleep-timeout","session-manager-power","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Power","WatchdogSleepTimeout","True","True","DWord","300","3",
"power.session-win32-callout-watchdog-bugcheck-enabled","session-manager-power","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Power","Win32CalloutWatchdogBugcheckEnabled","True","False",,,"0",
