"candidate_id","family","suspected_layer","boot_phase_relevant","frida_allowed","registry_path","value_name","path_exists","value_exists","value_kind","value_preview","value_length","read_error"
"power.session.hiberboot-enabled","session-manager-power","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Power","HiberbootEnabled","True","True","DWord","0","1",
"power.throttling.power-throttling-off","power-throttling","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power\PowerThrottling","PowerThrottlingOff","False","False",,,"0",
"system.kernel.serialize-timer-expiration","session-manager-kernel","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel","SerializeTimerExpiration","True","False",,,"0",
"power.control.coalescing-timer-interval","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","CoalescingTimerInterval","True","False",,,"0",
"power.control.deep-io-coalescing-enabled","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","DeepIoCoalescingEnabled","True","False",,,"0",
"power.control.energy-estimation-enabled","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","EnergyEstimationEnabled","True","True","DWord","1","1",
"power.control.event-processor-enabled","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","EventProcessorEnabled","True","True","DWord","1","1",
"power.control.disable-idle-states-at-boot","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","DisableIdleStatesAtBoot","True","False",,,"0",
"policy.system.enable-virtualization","policy-system","policy","False","True","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\SYSTEM","EnableVirtualization","True","True","DWord","1","1",
"power.control.hiber-file-size-percent","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","HiberFileSizePercent","True","True","DWord","0","1",
"power.control.msdisabled","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","MSDisabled","True","False",,,"0",
"power.modern-sleep.enabled-actions","power-modern-sleep","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power\ModernSleep","EnabledActions","True","False",,,"0",
"power.session.sleep-study-disabled","session-manager-power","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Power","SleepStudyDisabled","True","False",,,"0",
"power.control.allow-audio-to-enable-execution-required-power-requests","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","AllowAudioToEnableExecutionRequiredPowerRequests","True","False",,,"0",
"power.control.allow-system-required-power-requests","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","AllowSystemRequiredPowerRequests","True","False",,,"0",
"power.control.always-compute-qos-hints","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","AlwaysComputeQosHints","True","False",,,"0",
"power.control.class1-initial-unpark-count","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","Class1InitialUnparkCount","True","True","DWord","64","2",
"power.control.coalescing-flush-interval","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","CoalescingFlushInterval","True","False",,,"0",
"power.control.disable-display-burst-on-power-source-change","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","DisableDisplayBurstOnPowerSourceChange","True","False",,,"0",
"power.control.disable-inbox-pep-generated-constraints","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","DisableInboxPepGeneratedConstraints","True","False",,,"0",
"power.control.disable-vsync-latency-update","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","DisableVsyncLatencyUpdate","True","False",,,"0",
"power.control.drips-sw-hw-divergence-enable-live-dump","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","DripsSwHwDivergenceEnableLiveDump","True","False",,,"0",
"power.control.enable-input-suppression","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","EnableInputSuppression","True","False",,,"0",
"power.control.enable-minimal-hiber-file","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","EnableMinimalHiberFile","True","False",,,"0",
"power.control.enforce-austerity-mode","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","EnforceAusterityMode","True","False",,,"0",
"power.control.fx-accounting-telemetry-disabled","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","FxAccountingTelemetryDisabled","True","False",,,"0",
"power.control.hetero-hgs-ee-perf-hints-independent-enabled","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","HeteroHgsEePerfHintsIndependentEnabled","True","False",,,"0",
"power.control.hetero-hgs-plus-disabled","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","HeteroHgsPlusDisabled","True","False",,,"0",
"power.control.hetero-multi-class-parking-enabled","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","HeteroMultiClassParkingEnabled","True","False",,,"0",
"power.control.hetero-multi-core-classes-enabled","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","HeteroMultiCoreClassesEnabled","True","False",,,"0",
"power.control.hiberboot-enabled","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","HiberbootEnabled","True","False",,,"0",
"power.control.hibernate-enabled","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","HibernateEnabled","True","True","DWord","0","1",
"power.control.hibernate-enabled-default","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","HibernateEnabledDefault","True","True","DWord","1","1",
"power.control.idle-processors-require-qos-management","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","IdleProcessorsRequireQosManagement","True","False",,,"0",
"power.control.ignore-cs-compliance-check","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","IgnoreCsComplianceCheck","True","False",,,"0",
"power.control.ipi-last-clock-owner-disable","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","IpiLastClockOwnerDisable","True","False",,,"0",
"power.control.lid-reliability-state","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","LidReliabilityState","True","True","DWord","1","1",
"power.control.maximum-frequency-override","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","MaximumFrequencyOverride","True","False",,,"0",
"power.control.mf-buffering-threshold","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","MfBufferingThreshold","True","True","DWord","0","1",
"power.control.perf-boost-at-guaranteed","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","PerfBoostAtGuaranteed","True","False",,,"0",
"power.control.perf-calculate-actual-utilization","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","PerfCalculateActualUtilization","True","True","DWord","1","1",
"power.control.perf-check-timer-implementation","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","PerfCheckTimerImplementation","True","False",,,"0",
"power.control.po-fx-system-irp-wait-for-report-device-powered","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","PoFxSystemIrpWaitForReportDevicePowered","True","False",,,"0",
"power.control.power-watchdog-drv-set-monitor-timeout-msec","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","PowerWatchdogDrvSetMonitorTimeoutMsec","True","False",,,"0",
"power.control.power-watchdog-dwm-sync-flush-timeout-msec","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","PowerWatchdogDwmSyncFlushTimeoutMsec","True","False",,,"0",
"power.control.power-watchdog-po-callout-timeout-msec","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","PowerWatchdogPoCalloutTimeoutMsec","True","False",,,"0",
"power.control.power-watchdog-power-on-gdi-timeout-msec","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","PowerWatchdogPowerOnGdiTimeoutMsec","True","False",,,"0",
"power.control.power-watchdog-request-queue-timeout-msec","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","PowerWatchdogRequestQueueTimeoutMsec","True","False",,,"0",
"power.control.sleepstudy-accounting-enabled","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","SleepstudyAccountingEnabled","True","False",,,"0",
"power.control.standby-connectivity-grace-period","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","StandbyConnectivityGracePeriod","True","False",,,"0",
"power.control.timer-rebase-threshold-on-drips-exit","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","TimerRebaseThresholdOnDripsExit","True","True","DWord","60","2",
"power.control.ttm-enabled","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","TtmEnabled","True","False",,,"0",
"power.control.win32k-callout-watchdog-timeout-seconds","power-control","kernel","True","False","HKLM\SYSTEM\CurrentControlSet\Control\Power","Win32kCalloutWatchdogTimeoutSeconds","True","False",,,"0",
