"candidate_id","family","needle","binary_path","exists","size","ascii_match","unicode_match"
"power.customize-during-setup","power-control","CustomizeDuringSetup","C:\Windows\System32\ntoskrnl.exe","True","12952992","False","False"
"power.customize-during-setup","power-control","CustomizeDuringSetup","C:\Windows\System32\powrprof.dll","True","398160","False","False"
"power.source-settings-version","power-control","SourceSettingsVersion","C:\Windows\System32\ntoskrnl.exe","True","12952992","False","False"
"power.source-settings-version","power-control","SourceSettingsVersion","C:\Windows\System32\powrprof.dll","True","398160","False","False"
"power.session-power-setting-profile","session-manager-power","PowerSettingProfile","C:\Windows\System32\ntoskrnl.exe","True","12952992","False","False"
"power.session-power-setting-profile","session-manager-power","PowerSettingProfile","C:\Windows\System32\powrprof.dll","True","398160","False","False"
"power.session-watchdog-resume-timeout","session-manager-power","WatchdogResumeTimeout","C:\Windows\System32\ntoskrnl.exe","True","12952992","False","True"
"power.session-watchdog-resume-timeout","session-manager-power","WatchdogResumeTimeout","C:\Windows\System32\powrprof.dll","True","398160","False","False"
"power.session-watchdog-sleep-timeout","session-manager-power","WatchdogSleepTimeout","C:\Windows\System32\ntoskrnl.exe","True","12952992","False","True"
"power.session-watchdog-sleep-timeout","session-manager-power","WatchdogSleepTimeout","C:\Windows\System32\powrprof.dll","True","398160","False","False"
"system.executive-additional-critical-worker-threads","session-manager-executive","AdditionalCriticalWorkerThreads","C:\Windows\System32\ntoskrnl.exe","True","12952992","False","True"
"system.executive-additional-critical-worker-threads","session-manager-executive","AdditionalCriticalWorkerThreads","C:\Windows\System32\smss.exe","True","228768","False","False"
"system.executive-additional-delayed-worker-threads","session-manager-executive","AdditionalDelayedWorkerThreads","C:\Windows\System32\ntoskrnl.exe","True","12952992","False","True"
"system.executive-additional-delayed-worker-threads","session-manager-executive","AdditionalDelayedWorkerThreads","C:\Windows\System32\smss.exe","True","228768","False","False"
"system.executive-uuid-sequence-number","session-manager-executive","UuidSequenceNumber","C:\Windows\System32\ntoskrnl.exe","True","12952992","False","True"
"system.executive-uuid-sequence-number","session-manager-executive","UuidSequenceNumber","C:\Windows\System32\smss.exe","True","228768","False","False"
"system.io-allow-remote-dasd","session-manager-io","AllowRemoteDASD","C:\Windows\System32\ntoskrnl.exe","True","12952992","False","True"
"system.io-allow-remote-dasd","session-manager-io","AllowRemoteDASD","C:\Windows\System32\smss.exe","True","228768","False","False"
"system.io-allow-remote-dasd","session-manager-io","AllowRemoteDASD","C:\Windows\System32\drivers\ntfs.sys","True","3552672","False","False"
