"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"1:15:55.7426773 PM","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\Power\SystemPowerPolicy","SUCCESS","Type: REG_BINARY, Length: 232, Data: 01 00 00 00 06 00 00 00 00 00 00 00 00 00 00 00"
"1:15:55.7439554 PM","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\Power\ShutdownOccurred","NAME NOT FOUND","Length: 24"
"1:16:08.7626374 PM","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\Power\SystemPowerPolicy","SUCCESS","Type: REG_BINARY, Length: 232, Data: 01 00 00 00 06 00 00 00 00 00 00 00 00 00 00 00"
"1:16:24.1450488 PM","System","4","RegSetValue","HKLM\System\CurrentControlSet\Control\Session Manager\Power\SystemPowerPolicy","SUCCESS","Type: REG_BINARY, Length: 232, Data: 01 00 00 00 06 00 00 00 00 00 00 00 00 00 00 00"
"1:16:24.1464402 PM","System","4","RegSetValue","HKLM\System\CurrentControlSet\Control\Session Manager\Power\SystemPowerPolicy","SUCCESS","Type: REG_BINARY, Length: 232, Data: 01 00 00 00 06 00 00 00 00 00 00 00 00 00 00 00"
"1:16:24.1473063 PM","System","4","RegSetValue","HKLM\System\CurrentControlSet\Control\Session Manager\Power\SystemPowerPolicy","SUCCESS","Type: REG_BINARY, Length: 232, Data: 01 00 00 00 06 00 00 00 00 00 00 00 00 00 00 00"
"1:16:24.1482745 PM","System","4","RegSetValue","HKLM\System\CurrentControlSet\Control\Session Manager\Power\SystemPowerPolicy","SUCCESS","Type: REG_BINARY, Length: 232, Data: 01 00 00 00 06 00 00 00 00 00 00 00 00 00 00 00"
"1:16:24.1621010 PM","System","4","RegSetValue","HKLM\System\CurrentControlSet\Control\Session Manager\Power\SystemPowerPolicy","SUCCESS","Type: REG_BINARY, Length: 232, Data: 01 00 00 00 06 00 00 00 00 00 00 00 00 00 00 00"
"1:16:24.1633206 PM","System","4","RegSetValue","HKLM\System\CurrentControlSet\Control\Session Manager\Power\SystemPowerPolicy","SUCCESS","Type: REG_BINARY, Length: 232, Data: 01 00 00 00 06 00 00 00 00 00 00 00 00 00 00 00"
"1:16:24.1641569 PM","System","4","RegSetValue","HKLM\System\CurrentControlSet\Control\Session Manager\Power\SystemPowerPolicy","SUCCESS","Type: REG_BINARY, Length: 232, Data: 01 00 00 00 06 00 00 00 00 00 00 00 00 00 00 00"
"1:16:24.1649364 PM","System","4","RegSetValue","HKLM\System\CurrentControlSet\Control\Session Manager\Power\SystemPowerPolicy","SUCCESS","Type: REG_BINARY, Length: 232, Data: 01 00 00 00 06 00 00 00 00 00 00 00 00 00 00 00"
"1:16:24.2269644 PM","System","4","RegSetValue","HKLM\System\CurrentControlSet\Control\Session Manager\Power\SystemPowerPolicy","SUCCESS","Type: REG_BINARY, Length: 232, Data: 01 00 00 00 06 00 00 00 00 00 00 00 00 00 00 00"
"1:16:24.2287443 PM","System","4","RegSetValue","HKLM\System\CurrentControlSet\Control\Session Manager\Power\SystemPowerPolicy","SUCCESS","Type: REG_BINARY, Length: 232, Data: 01 00 00 00 06 00 00 00 00 00 00 00 00 00 00 00"
"1:16:24.2297132 PM","System","4","RegSetValue","HKLM\System\CurrentControlSet\Control\Session Manager\Power\SystemPowerPolicy","SUCCESS","Type: REG_BINARY, Length: 232, Data: 01 00 00 00 06 00 00 00 00 00 00 00 00 00 00 00"
"1:16:24.2307312 PM","System","4","RegSetValue","HKLM\System\CurrentControlSet\Control\Session Manager\Power\SystemPowerPolicy","SUCCESS","Type: REG_BINARY, Length: 232, Data: 01 00 00 00 06 00 00 00 00 00 00 00 00 00 00 00"
"1:16:24.2315376 PM","System","4","RegSetValue","HKLM\System\CurrentControlSet\Control\Session Manager\Power\SystemPowerPolicy","SUCCESS","Type: REG_BINARY, Length: 232, Data: 01 00 00 00 06 00 00 00 00 00 00 00 00 00 00 00"
"1:16:24.2323320 PM","System","4","RegSetValue","HKLM\System\CurrentControlSet\Control\Session Manager\Power\SystemPowerPolicy","SUCCESS","Type: REG_BINARY, Length: 232, Data: 01 00 00 00 06 00 00 00 00 00 00 00 00 00 00 00"
"1:16:24.2331421 PM","System","4","RegSetValue","HKLM\System\CurrentControlSet\Control\Session Manager\Power\SystemPowerPolicy","SUCCESS","Type: REG_BINARY, Length: 232, Data: 01 00 00 00 06 00 00 00 00 00 00 00 00 00 00 00"
