"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"12:54:51.9098902 PM","powershell.exe","6472","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableAPISamping","NAME NOT FOUND","Length: 12"
"12:54:51.9099527 PM","powershell.exe","6472","RegSetValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableAPISamping","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"12:54:51.9102964 PM","powershell.exe","6472","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableAPISamping","BUFFER OVERFLOW","Length: 12"
"12:54:51.9103147 PM","powershell.exe","6472","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableAPISamping","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"12:54:51.9103487 PM","powershell.exe","6472","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableAPISamping","BUFFER OVERFLOW","Length: 12"
"12:54:51.9216535 PM","powershell.exe","6472","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableApplicationFootprint","BUFFER OVERFLOW","Length: 12"
"12:54:51.9216705 PM","powershell.exe","6472","RegSetValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableApplicationFootprint","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"12:54:51.9216953 PM","powershell.exe","6472","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableApplicationFootprint","BUFFER OVERFLOW","Length: 12"
"12:54:51.9217028 PM","powershell.exe","6472","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableApplicationFootprint","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"12:54:51.9217192 PM","powershell.exe","6472","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableApplicationFootprint","BUFFER OVERFLOW","Length: 12"
"12:54:51.9332647 PM","powershell.exe","6472","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableInstallTracing","BUFFER OVERFLOW","Length: 12"
"12:54:51.9332789 PM","powershell.exe","6472","RegSetValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableInstallTracing","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"12:54:51.9333021 PM","powershell.exe","6472","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableInstallTracing","BUFFER OVERFLOW","Length: 12"
"12:54:51.9333103 PM","powershell.exe","6472","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableInstallTracing","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"12:54:51.9333234 PM","powershell.exe","6472","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableInstallTracing","BUFFER OVERFLOW","Length: 12"
"12:54:51.9422732 PM","powershell.exe","6472","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableWin32AppBackup","BUFFER OVERFLOW","Length: 12"
"12:54:51.9422936 PM","powershell.exe","6472","RegSetValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableWin32AppBackup","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"12:54:51.9423250 PM","powershell.exe","6472","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableWin32AppBackup","BUFFER OVERFLOW","Length: 12"
"12:54:51.9423373 PM","powershell.exe","6472","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableWin32AppBackup","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"12:54:51.9423505 PM","powershell.exe","6472","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableWin32AppBackup","BUFFER OVERFLOW","Length: 12"
"12:54:51.9591611 PM","reg.exe","1344","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableAPISamping","BUFFER OVERFLOW","Length: 12"
"12:54:51.9591806 PM","reg.exe","1344","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableAPISamping","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"12:54:51.9855260 PM","reg.exe","3376","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableApplicationFootprint","BUFFER OVERFLOW","Length: 12"
"12:54:51.9855401 PM","reg.exe","3376","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableApplicationFootprint","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"12:54:52.0100286 PM","reg.exe","1212","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableInstallTracing","BUFFER OVERFLOW","Length: 12"
"12:54:52.0100426 PM","reg.exe","1212","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat\DisableInstallTracing","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
