"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"12:54:51.8814908 PM","powershell.exe","6472","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\AppCompat","SUCCESS","Desired Access: Read"
"12:54:51.8815741 PM","powershell.exe","6472","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat","SUCCESS",""
"12:54:51.8816131 PM","powershell.exe","6472","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\AppCompat","SUCCESS","Desired Access: Read"
"12:54:51.8816309 PM","powershell.exe","6472","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat","SUCCESS",""
"12:54:51.8817012 PM","powershell.exe","6472","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\AppCompat","SUCCESS","Desired Access: Read"
"12:54:51.8817246 PM","powershell.exe","6472","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat","SUCCESS",""
"12:54:51.8829133 PM","powershell.exe","6472","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\AppCompat","SUCCESS","Desired Access: Read"
"12:54:51.8829389 PM","powershell.exe","6472","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat","SUCCESS",""
"12:54:51.8829765 PM","powershell.exe","6472","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\AppCompat","SUCCESS","Desired Access: Read"
"12:54:51.8829996 PM","powershell.exe","6472","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat","SUCCESS",""
"12:54:51.8831004 PM","powershell.exe","6472","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\AppCompat","SUCCESS","Desired Access: Read"
"12:54:51.8831159 PM","powershell.exe","6472","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat","SUCCESS",""
"12:54:51.8842992 PM","powershell.exe","6472","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\AppCompat","SUCCESS","Desired Access: Read"
"12:54:51.8843277 PM","powershell.exe","6472","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat","SUCCESS",""
"12:54:51.8843584 PM","powershell.exe","6472","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\AppCompat","SUCCESS","Desired Access: Read"
"12:54:51.8843866 PM","powershell.exe","6472","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat","SUCCESS",""
"12:54:51.8844841 PM","powershell.exe","6472","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\AppCompat","SUCCESS","Desired Access: Read"
"12:54:51.8845157 PM","powershell.exe","6472","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat","SUCCESS",""
"12:54:51.8854000 PM","powershell.exe","6472","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\AppCompat","SUCCESS","Desired Access: Read"
"12:54:51.8854651 PM","powershell.exe","6472","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat","SUCCESS",""
"12:54:51.8854960 PM","powershell.exe","6472","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\AppCompat","SUCCESS","Desired Access: Read"
"12:54:51.8855111 PM","powershell.exe","6472","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat","SUCCESS",""
"12:54:51.8855869 PM","powershell.exe","6472","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\AppCompat","SUCCESS","Desired Access: Read"
"12:54:51.8856055 PM","powershell.exe","6472","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat","SUCCESS",""
"12:54:51.8863875 PM","powershell.exe","6472","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\AppCompat","SUCCESS","Desired Access: Read"
"12:54:51.8864080 PM","powershell.exe","6472","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat","SUCCESS",""
"12:54:51.8864343 PM","powershell.exe","6472","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\AppCompat","SUCCESS","Desired Access: Read"
"12:54:51.8864468 PM","powershell.exe","6472","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat","SUCCESS",""
