MODE=set
REGISTRY_PATH=HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager
VALUE_NAME=HideExclusionsFromLocalAdmins
STATE=1
PML_EXISTS=True
CSV_EXISTS=True
MATCH_COUNT=45
12:20:26.3416375 AM | SecurityHealthService.exe | RegOpenKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\ | SUCCESS | Desired Access: Query Value
12:20:26.3417561 AM | SecurityHealthService.exe | RegQueryKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager | SUCCESS | Query: Cached, SubKeys: 0, Values: 1
12:20:26.3417757 AM | SecurityHealthService.exe | RegCloseKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager | SUCCESS | 
12:20:26.3425793 AM | SecurityHealthService.exe | RegQueryValue | HKLM\SOFTWARE\POLICIES\MICROSOFT\WINDOWS DEFENDER\POLICY MANAGER\DisableLocalAdminMerge | KEY DELETED | Length: 16
12:20:38.3924649 AM | SecurityHealthService.exe | RegQueryValue | HKLM\SOFTWARE\POLICIES\MICROSOFT\WINDOWS DEFENDER\POLICY MANAGER\AllowRealtimeMonitoring | KEY DELETED | Length: 16
12:20:38.3933566 AM | SecurityHealthService.exe | RegOpenKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager | SUCCESS | Desired Access: Read
12:20:38.3933754 AM | SecurityHealthService.exe | RegCloseKey | HKLM\SOFTWARE\POLICIES\MICROSOFT\WINDOWS DEFENDER\POLICY MANAGER | SUCCESS | 
12:20:38.3933860 AM | SecurityHealthService.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\AllowCloudProtection | NAME NOT FOUND | Length: 16
12:20:38.3937199 AM | SecurityHealthService.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\SubmitSamplesConsent | NAME NOT FOUND | Length: 16
12:20:38.4892418 AM | SecurityHealthService.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\AllowRealtimeMonitoring | NAME NOT FOUND | Length: 16
12:20:38.4895715 AM | SecurityHealthService.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\AllowCloudProtection | NAME NOT FOUND | Length: 16
12:20:38.4900325 AM | SecurityHealthService.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\SubmitSamplesConsent | NAME NOT FOUND | Length: 16
