"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:24:34.9568962 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9569801 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9572463 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9572782 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9573481 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9573694 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9575220 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9575361 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9575584 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9575705 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9576256 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9576378 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9578452 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9578588 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9578790 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9578898 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9579352 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9579454 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9580716 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9580835 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9581024 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9581130 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9581577 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9581677 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9582878 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9582992 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9583159 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9583254 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9583734 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9583831 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9586072 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9586183 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9586367 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9586465 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9586887 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9586981 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9588917 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9589031 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9589204 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9589303 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9591227 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9591473 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9592738 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9593621 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9594212 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9594447 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9595087 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9595284 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9596900 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9597031 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9651444 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9651657 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9651896 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9652023 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9652503 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9652657 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9653911 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9654043 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9654238 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9654344 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9654792 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9654893 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9655986 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9656095 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9656945 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9657141 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9657719 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9657829 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9659150 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9659274 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9659463 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9659566 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9660021 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9660121 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9662525 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9662701 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9662903 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9663008 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9663528 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9663631 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9664692 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9664806 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9664991 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9665093 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9665516 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9665611 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9666696 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9666805 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9667264 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9667450 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9667998 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9668757 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9670047 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9670166 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9670346 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9670448 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9671442 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9671610 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9672703 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9672810 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9673098 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9673209 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9673391 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9673495 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9674807 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9674987 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9676324 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read/Write"
"9:24:34.9677307 PM","powershell.exe","1932","RegQueryValue","HKCU\System\GameConfigStore\GameDVR_FSEBehavior","NAME NOT FOUND","Length: 12"
"9:24:34.9677692 PM","powershell.exe","1932","RegSetValue","HKCU\System\GameConfigStore\GameDVR_FSEBehavior","SUCCESS","Type: REG_DWORD, Length: 4, Data: 2"
"9:24:34.9678230 PM","powershell.exe","1932","RegQueryValue","HKCU\System\GameConfigStore\GameDVR_FSEBehavior","BUFFER OVERFLOW","Length: 12"
"9:24:34.9678624 PM","powershell.exe","1932","RegQueryValue","HKCU\System\GameConfigStore\GameDVR_FSEBehavior","SUCCESS","Type: REG_DWORD, Length: 4, Data: 2"
"9:24:34.9678870 PM","powershell.exe","1932","RegQueryValue","HKCU\System\GameConfigStore\GameDVR_FSEBehavior","BUFFER OVERFLOW","Length: 12"
"9:24:34.9679935 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9680117 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9680757 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9680864 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9681031 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9681125 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9681867 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9684033 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
"9:24:34.9684209 PM","powershell.exe","1932","RegCloseKey","HKCU\System\GameConfigStore","SUCCESS",""
"9:24:34.9684416 PM","powershell.exe","1932","RegOpenKey","HKCU\System\GameConfigStore","SUCCESS","Desired Access: Read"
