"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:01:41.7251406 PM","powershell.exe","4500","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Reliability","SUCCESS","Desired Access: Read"
"9:01:41.7252139 PM","powershell.exe","4500","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Reliability","SUCCESS",""
"9:01:41.7252553 PM","powershell.exe","4500","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Reliability","SUCCESS","Desired Access: Read"
"9:01:41.7252754 PM","powershell.exe","4500","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Reliability","SUCCESS",""
"9:01:41.7253476 PM","powershell.exe","4500","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Reliability","SUCCESS","Desired Access: Read"
"9:01:41.7253622 PM","powershell.exe","4500","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Reliability","SUCCESS",""
"9:01:41.7261019 PM","powershell.exe","4500","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Reliability","SUCCESS","Desired Access: Read"
"9:01:41.7261147 PM","powershell.exe","4500","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Reliability","SUCCESS",""
"9:01:41.7261398 PM","powershell.exe","4500","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Reliability","SUCCESS","Desired Access: Read"
"9:01:41.7261515 PM","powershell.exe","4500","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Reliability","SUCCESS",""
"9:01:41.7261981 PM","powershell.exe","4500","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Reliability","SUCCESS","Desired Access: Read"
"9:01:41.7262085 PM","powershell.exe","4500","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Reliability","SUCCESS",""
"9:01:41.7267405 PM","powershell.exe","4500","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Reliability","SUCCESS","Desired Access: Read"
"9:01:41.7267547 PM","powershell.exe","4500","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Reliability","SUCCESS",""
"9:01:41.7267759 PM","powershell.exe","4500","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Reliability","SUCCESS","Desired Access: Read"
"9:01:41.7267876 PM","powershell.exe","4500","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Reliability","SUCCESS",""
"9:01:41.7268343 PM","powershell.exe","4500","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Reliability","SUCCESS","Desired Access: Read"
"9:01:41.7268448 PM","powershell.exe","4500","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Reliability","SUCCESS",""
