MODE=set
REGISTRY_PATH=HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender
VALUE_NAME=ThreatFileHashLogging
STATE=1
PML_EXISTS=True
CSV_EXISTS=True
MATCH_COUNT=80
1:20:23.2952658 AM | MsMpEng.exe | RegOpenKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\ | SUCCESS | Desired Access: Query Value
1:20:23.2954050 AM | MsMpEng.exe | RegQueryKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager | SUCCESS | Query: Cached, SubKeys: 0, Values: 0
1:20:23.2954494 AM | MsMpEng.exe | RegCloseKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager | SUCCESS | 
1:20:23.2955078 AM | MsMpEng.exe | RegOpenKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender | SUCCESS | Desired Access: Read
1:20:23.2955556 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\DisableLocalAdminMerge | NAME NOT FOUND | Length: 16
1:20:23.2955980 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\DisableLocalAdminMerge | KEY DELETED | Length: 16
1:20:23.2959599 AM | MsMpEng.exe | RegCloseKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender | SUCCESS | 
1:20:23.2960554 AM | MsMpEng.exe | RegOpenKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\ | SUCCESS | Desired Access: Query Value
1:20:23.2960983 AM | MsMpEng.exe | RegQueryKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager | SUCCESS | Query: Cached, SubKeys: 0, Values: 0
1:20:23.2961088 AM | MsMpEng.exe | RegCloseKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager | SUCCESS | 
1:20:23.2962970 AM | MsMpEng.exe | RegOpenKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\ | SUCCESS | Desired Access: Read
1:20:23.2963161 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\AllowFastServiceStartup | NAME NOT FOUND | Length: 12
1:20:23.2963396 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\AllowFastServiceStartup | NAME NOT FOUND | Length: 16
1:20:23.2964461 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\BetaPlatform | NAME NOT FOUND | Length: 14
1:20:23.2964643 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\BetaPlatform | NAME NOT FOUND | Length: 16
1:20:23.2965167 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\CachedProxy | NAME NOT FOUND | Length: 14
1:20:23.2965771 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\CachedProxyAccessType  | NAME NOT FOUND | Length: 12
1:20:23.2965944 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\CachedProxyAccessType  | NAME NOT FOUND | Length: 16
1:20:23.2966123 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\CachedProxyBypass | NAME NOT FOUND | Length: 16
1:20:23.2968181 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\DisableLocalAdminMerge | NAME NOT FOUND | Length: 16
1:20:23.2968268 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\DisableLocalAdminMerge | KEY DELETED | Length: 16
1:20:23.2969272 AM | MsMpEng.exe | RegOpenKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender | SUCCESS | Desired Access: Read
1:20:23.2969415 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\EnableRemoteManagedDefaults | NAME NOT FOUND | Length: 16
1:20:23.2969512 AM | MsMpEng.exe | RegCloseKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender | SUCCESS | 
1:20:23.2970456 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\DisableLocalAdminMerge | NAME NOT FOUND | Length: 16
