"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:13:35.0007810 PM","Idle","0","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 325663.9687500 seconds, Private Bytes: 61,440, Working Set: 8,192"
"7:13:35.0007985 PM","System","4","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 1534.2812500 seconds, Private Bytes: 40,960, Working Set: 176,128"
"7:13:35.0008036 PM","Registry","124","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 41.9218750 seconds, Private Bytes: 3,809,280, Working Set: 61,140,992"
"7:13:35.0008780 PM","smss.exe","428","Process Profiling","","SUCCESS","User Time: 0.0468750 seconds, Kernel Time: 0.2187500 seconds, Private Bytes: 1,183,744, Working Set: 1,757,184"
"7:13:35.0208147 PM","csrss.exe","596","Process Profiling","","SUCCESS","User Time: 0.9062500 seconds, Kernel Time: 33.8125000 seconds, Private Bytes: 2,015,232, Working Set: 7,745,536"
"7:13:35.0208300 PM","wininit.exe","700","Process Profiling","","SUCCESS","User Time: 0.2500000 seconds, Kernel Time: 0.1562500 seconds, Private Bytes: 1,589,248, Working Set: 9,859,072"
"7:13:35.0208402 PM","csrss.exe","708","Process Profiling","","SUCCESS","User Time: 0.7968750 seconds, Kernel Time: 93.6718750 seconds, Private Bytes: 2,076,672, Working Set: 7,376,896"
"7:13:35.0208483 PM","winlogon.exe","760","Process Profiling","","SUCCESS","User Time: 0.6093750 seconds, Kernel Time: 0.6718750 seconds, Private Bytes: 2,867,200, Working Set: 15,314,944"
"7:13:35.0208566 PM","services.exe","844","Process Profiling","","SUCCESS","User Time: 9.1406250 seconds, Kernel Time: 16.2343750 seconds, Private Bytes: 5,197,824, Working Set: 12,349,440"
"7:13:35.0208644 PM","lsass.exe","864","Process Profiling","","SUCCESS","User Time: 34.1093750 seconds, Kernel Time: 49.7812500 seconds, Private Bytes: 6,111,232, Working Set: 25,772,032"
"7:13:35.0209405 PM","fontdrvhost.exe","988","Process Profiling","","SUCCESS","User Time: 0.5468750 seconds, Kernel Time: 0.1406250 seconds, Private Bytes: 3,334,144, Working Set: 8,519,680"
"7:13:35.0209536 PM","fontdrvhost.exe","984","Process Profiling","","SUCCESS","User Time: 1.2343750 seconds, Kernel Time: 0.2500000 seconds, Private Bytes: 2,027,520, Working Set: 6,430,720"
"7:13:35.0209675 PM","svchost.exe","1000","Process Profiling","","SUCCESS","User Time: 14.1875000 seconds, Kernel Time: 23.3593750 seconds, Private Bytes: 8,867,840, Working Set: 35,766,272"
"7:13:35.0209758 PM","svchost.exe","696","Process Profiling","","SUCCESS","User Time: 10.1406250 seconds, Kernel Time: 17.4687500 seconds, Private Bytes: 6,574,080, Working Set: 17,924,096"
